اسم الخدمة,التصنيف,السعر,السعر إلى,العملة,المدة,الوصف
استشارة عامة,استشارة,100,200,ر.س,30 دقيقة,استشارة طبية عامة مع طبيب
استشارة متخصصة,استشارة,200,300,ر.س,45 دقيقة,استشارة مع طبيب متخصص
فحص دم شامل,تحليل,150,,ر.س,,فحص دم شامل مع جميع التحاليل
تحليل سكر تراكمي,تحليل,80,,ر.س,,تحليل السكر التراكمي HbA1c
أشعة سينية,أشعة,120,,ر.س,15 دقيقة,أشعة سينية عادية
أشعة مقطعية,أشعة,800,,ر.س,20 دقيقة,أشعة مقطعية CT Scan
رنين مغناطيسي,أشعة,1500,,ر.س,45 دقيقة,رنين مغناطيسي MRI
عملية جراحية بسيطة,جراحة,5000,7000,ر.س,يوم واحد,عملية جراحية بسيطة مع إقامة
عملية جراحية معقدة,جراحة,15000,20000,ر.س,3-5 أيام,عملية جراحية معقدة مع إقامة
تنظيف أسنان,أسنان,200,,ر.س,45 دقيقة,تنظيف وتلميع الأسنان
